id,greenhous_temperature_celsius,greenhouse_humidity_percentage,greenhouse_illuminance_lux,online_temperature_celsius,online_humidity_percentage,greenhouse_total_volatile_organic_compounds_ppb,greenhouse_equivalent_co2_ppm,created,stress_risk
439834,20.46150932312012,56.45380363464356,9460.2,7.400000095367432,71.0,1177.9,1495.9,2021-03-14 14:20:05,0
439886,21.39745922088623,56.27130546569824,8694.6,7.400000095367432,71.0,1286.4,1565.4,2021-03-14 14:30:06,0
439938,21.398616366916237,56.27035649617513,7098.111111111111,7.5,74.0,1284.7777777777778,1555.2222222222222,2021-03-14 14:40:04,0
439985,21.0340274810791,55.96978759765625,6662.8,8.0,70.0,1242.4,1519.1,2021-03-14 14:50:00,0
440037,20.698634338378906,56.38437538146973,5015.1,8.0,70.0,1192.3,1492.2,2021-03-14 15:00:07,0
440089,19.988326644897462,56.8235294342041,5814.2,8.5,70.0,1102.1,1442.1,2021-03-14 15:10:05,0
440141,19.396849060058592,57.61104774475098,4364.2,7.800000190734863,68.0,1040.0,1415.8,2021-03-14 15:20:04,0
440193,18.76062838236491,58.36440192328559,4168.0,7.800000190734863,68.0,970.2222222222222,1379.2222222222222,2021-03-14 15:30:06,0
440240,18.42191200256348,58.89188957214356,4395.9,8.100000381469727,67.0,1027.3,1404.0,2021-03-14 15:40:05,0
440292,18.364233016967773,59.423666381835936,4120.2,7.0,75.0,1009.2,1405.6,2021-03-14 15:50:04,0
440344,18.124170303344727,59.80758399963379,3328.4,7.0,75.0,1011.5,1396.1,2021-03-14 16:00:06,0
440396,18.223595725165477,59.90251202053494,4666.444444444444,6.800000190734863,81.0,993.1111111111112,1401.7777777777778,2021-03-14 16:10:04,0
440443,18.56877994537353,59.55580978393554,5610.1,7.400000095367432,78.0,1030.3,1428.3,2021-03-14 16:20:04,0
440495,18.848630905151367,59.6786449432373,4907.0,7.400000095367432,78.0,1066.5,1445.5,2021-03-14 16:30:06,0
440547,18.838483810424805,59.85763320922852,4475.9,7.699999809265137,71.0,1072.4,1449.9,2021-03-14 16:40:03,0
440599,18.83450804816352,59.89725579155816,4365.666666666667,7.900000095367432,71.0,1078.888888888889,1440.2222222222222,2021-03-14 16:50:03,0
440646,18.58960876464844,60.532234573364256,2730.1,7.900000095367432,71.0,993.1,1413.1,2021-03-14 17:00:05,0
440698,18.199740600585937,61.33669013977051,2315.6,8.199999809265137,70.0,908.5,1383.4,2021-03-14 17:10:04,0
440750,17.828564834594726,61.85595474243164,2135.1,8.199999809265137,71.0,883.8,1361.7,2021-03-14 17:20:05,0
440802,17.57081151008606,62.06721639633179,2160.625,8.199999809265137,71.0,860.75,1349.125,2021-03-14 17:30:05,0
440844,17.253643226623534,62.59830589294434,1736.1,8.100000381469727,72.0,748.9,1303.9,2021-03-14 17:40:04,0
440896,16.676852226257324,63.22774085998535,1106.8,7.900000095367432,74.0,681.3,1250.3,2021-03-14 17:50:03,0
440948,16.087243270874023,63.87792778015137,352.5,7.900000095367432,74.0,654.2,1202.7,2021-03-14 18:00:07,0
441000,15.632783359951445,64.62585788302951,206.66666666666663,7.800000190734863,76.0,643.5555555555555,1190.0,2021-03-14 18:10:03,0
441047,15.261043643951416,65.16975708007813,50.7,7.699999809265137,76.0,662.8,1215.1,2021-03-14 18:20:03,0
441099,14.852216243743896,65.4435043334961,46.3,7.699999809265137,76.0,673.4,1222.6,2021-03-14 18:30:05,0
441151,14.379301166534423,65.61150436401367,49.5,7.5,77.0,653.2,1173.8,2021-03-14 18:40:03,0
441203,13.979849497477211,66.21398332383897,13.11111111111111,7.099999904632568,81.0,609.7777777777778,1114.7777777777778,2021-03-14 18:50:04,0
441250,13.71786060333252,66.9100471496582,0.0,7.099999904632568,81.0,552.4,1031.9,2021-03-14 19:00:07,0
441302,13.526131057739258,67.4627296447754,0.0,5.599999904632568,89.0,507.9,970.5,2021-03-14 19:10:03,0
441354,13.38807497024536,67.90341110229492,0.0,5.599999904632568,89.0,485.0,939.1,2021-03-14 19:20:03,0
441406,13.244915750291613,67.99928792317708,0.0,5.5,91.0,463.0,905.2222222222222,2021-03-14 19:30:04,0
441453,13.06069288253784,67.92462158203125,0.0,5.599999904632568,92.0,435.2,863.2,2021-03-14 19:40:05,0
441505,12.830777549743653,67.86785888671875,0.0,5.5,92.0,438.5,861.3,2021-03-14 19:50:06,0
441557,12.561074256896973,67.8468017578125,0.0,5.5,92.0,433.0,851.7,2021-03-14 20:00:05,0
441609,12.355992952982584,68.06252712673611,0.0,5.099999904632568,94.0,468.77777777777777,906.4444444444443,2021-03-14 20:10:05,0
