,id,greenhous_temperature_celsius,greenhouse_humidity_percentage,greenhouse_illuminance_lux,online_temperature_celsius,online_humidity_percentage,greenhouse_total_volatile_organic_compounds_ppb,greenhouse_equivalent_co2_ppm,stress_risk
count,17164.0,17164.0,17164.0,17164.0,17158.0,17158.0,17164.0,17164.0,17164.0
mean,789506.6221743183,25.874693359669934,52.910666034856725,3722.2437050848566,11.193530720254872,73.63573843105257,979.5607290738728,1219.0923815446638,0.22086926124446515
std,244193.4899534612,13.038213777898074,13.079383883043912,5738.124413938237,6.682947491517326,17.892312177694087,1058.7582748109774,1234.6556869720775,0.414844618203441
min,361496.0,4.972237163119846,15.31395444869995,0.0,-4.900000095367432,18.0,0.0,400.0,0.0
25%,578387.25,14.951478401819864,45.48862322701349,0.0,6.0,60.0,463.5,424.0,0.0
50%,793014.0,24.121461868286133,55.613870048522955,901.3277777777778,10.5,76.0,631.2222222222222,985.95,0.0
75%,997868.25,31.74451627731323,63.77134323120117,5239.599999999999,15.5,89.0,1161.825,1385.9250000000002,0.0
max,1206788.0,77.56631215413411,82.90030452183315,36489.333333333336,32.29999923706055,100.0,13114.1,18113.4,1.0
